phrase, score
hearts you will live forever, 12
hearts you are always there, 12
hearts to prove to, 12
hearts your loving, 12
hearts your loving family, 12
hearts your memory is kept, 12
hearts you're always, 12
hearts from your loving family, 12
hearts for ever, 12
hearts with all our love, 12
hearts "may the lord watch, 12
hearts rest in, 12
hearts you'll always be, 12
madge & arthur torr &, 12
garden you always enjoyed from, 12
garden is a lovesome thing", 12
garden is a friend you, 12
garden we find you we, 12
garden of beautiful memories sprayed, 12
garden of rememberance and seating, 12
garden he enjoyed a place, 12
garden association in memory of, 12
on this site, 12
on this seat, 12
on the occasion of our, 12
on the other side, 12
on the go but made, 12
on the moth- er_ walk, 12
on the moth- er_ your, 12
on the 20th, 12
on the 20th anniversary of, 12
on the dock of the, 12
on 22nd march 2006, 12
on forever in our, 12
on forever in the hearts, 12
on forever in loving memory, 12
on in our hearts in, 12
on in our memories, 12
on in the memories of, 12
on in the hearts and, 12
on in us all, 12
on our mind forever, 12
on a fine day, 12
on and our little, 12
on active service, 12
on my bench and weep, 12
on old london bridge was, 12
edna ellis founders and committee, 12
much missed by their, 12
much missed by family and, 12
much missed by friends and, 12
much missed by all, 12
much missed by all who, 12
much missed by her, 12
much loved by all her, 12
much loved by all who, 12
much loved by their family, 12
much loved by us all, 12
much loved wife mother grandmother, 12
much loved wife mum nanny, 12
much loved wife mum grandma, 12
much loved wife of peter, 12
much loved wife to, 12
much loved brother and, 12
much loved brother and uncle, 12
much loved and missed wife, 12
much loved and so sadly, 12
much loved and never, 12
much loved and respected by, 12
much loved and sorely missed, 12
much loved and very special, 12
much loved husband father son, 12
much loved husband dad grandpa, 12
much loved parents grandparents and, 12
much loved parents &, 12
much loved parents & grandparents, 12
much loved mother grandmother &, 12
much loved mother grandmother and, 12
much loved mother and grandmother, 12
much loved father & grandfather, 12
much loved father and, 12
much loved much missed always, 12
much loved mum & grandma, 12
much loved mum dad nan, 12
much loved dad of, 12
much loved dad son brother, 12
much loved son brother uncle, 12
much loved son brother grandson, 12
much loved son and, 12
much loved son and brother, 12
much loved daughter and, 12
much loved daughter and sister, 12
much loved sadly missed, 12
much loved man, 12
much and will never be, 12
much as her husband loves, 12
much in loving memory of, 12
much love from all of, 12
much always in our, 12
much always in our thoughts, 12
friend of the league, 12
friend of rye harbour, 12
friend to all who, 12
friend to many in, 12
friend a true gentleman, 12
friend and colleague of, 12
friend and colleague who loved, 12
friend who loved to walk, 12
friend who will be missed, 12
friend who is sadly missed, 12
friend never forgotten and always, 12
friend always in our thoughts, 12
friend always on the go, 12
friend always loved, 12
friend we love you, 12
friend we miss you, 12
friend until we meet again, 12
friend forever in, 12
friend gone but never forgotten, 12
friend at corpus christi school, 12
has been donated for henry, 12
has been donated by mr, 12
has been donated to shenstone, 12
has been donated to the, 12
has been there is a, 12
has been restored in loving, 12
has once known it shall, 12
been donated for henry rogers, 12
been donated by the hams, 12
been donated to shenstone parish, 12
been donated in loving memory, 12
been there is a trail, 12
been provided by the, 12
been a long day without, 12
been restored in loving memory, 12
brother and uncle who, 12
brother and uncle who loved, 12
brother and uncle ronald jones, 12
brother and uncle forever in, 12
brother and son, 12
brother and friend a true, 12
brother and friend who, 12
brother and sister, 12
brother uncle &, 12
brother uncle and friend who, 12
brother uncle and friend to, 12
brother uncle friend, 12
brother in loving memory, 12
brother forever in our, 12
brother grandson and friend, 12
brother you are deeply missed, 12
brother grandad and great grandad, 12
margaret and leon green founders, 12
she loved this place and, 12
she loved so much, 12
she loved the hills and, 12
she loved to be, 12
she loved to walk her, 12
she loved to sit here, 12
she loved to sit and, 12
she loved her, 12
she loved these gardens and, 12
she loved rest in peace, 12
she was nancy diane keen, 12
she was special to all, 12
she spent many happy hours, 12
she lived for those she, 12
she gave so much, 12
she gave so much and, 12
she will be sadly missed, 12
she will never be, 12
she will always stay loved, 12
she touched and always looked, 12
she be but little she, 12
james hewitt - 1950 to, 12
james jimmy robertson 1912-1998 in, 12
james mcdonald (1867-1949) dr david, 12
& mrs h gibson of, 12
& dad always in our, 12
& dad and nan &, 12
& dad nan & grandad, 12
& friends to, 12
& friends to the, 12
& friends in loving, 12
& colin missed by all, 12
& brother forever in our, 12
& grandad loved and missed, 12
& grandad always, 12
& grandad we miss you, 12
& grandad forever in, 12
& grandpa who loved these, 12
& great grandad in memory, 12
& co (est 1855), 12
& remembered by all in, 12
& remembered every day, 12
& district lions club from, 12
& district community association presented, 12
& charlie michael happy memories, 12
& friend to, 12
& enjoy the view as, 12
& much loved husband dad, 12
& missed every day, 12
& missed by all the, 12
& doreen hawthorne 1927 -, 12
& malling bc, 12
& miss you always rest, 12
& nan forever in our, 12
& nan always in our, 12
& arthur torr & beloved, 12
& beloved grandson ian dale, 12
& love you always x, 12
& our dad was magic!, 12
& writer died june 2019, 12
& suad i almuffarij for, 12
& best friend, 12
& mersey canal society dedicated, 12
a devoted wife mum &, 12
a devoted wife mum and, 12
a devoted wife and, 12
a quiet place and, 12
a very special person -, 12
a very special man he, 12
a very special man who, 12
a very special wife, 12
a very special wife and, 12
a very special husband dad, 12
a very special couple, 12
a very special teacher colleague, 12
a very dear husband dad, 12
a very lovely lady, 12
a very much loved, 12
a very kind and special, 12
a special place to, 12
a special place of, 12
a special place of tranquillity, 12
a special place for them, 12
a special place for us, 12
a special place she, 12
a special place she called, 12
a special lady who loved, 12
a special son, 12
a while and share, 12
a while and take, 12
a while and remember with, 12
a while enjoy and share, 12
a while in loving, 12
a while - have a, 12
a while with me, 12
a while remember, 12
a while smile and, 12
a while smile and think, 12
a founder member and, 12
a tribute to the, 12
a wonderful husband and son, 12
a wonderful husband and devoted, 12
a wonderful husband dad &, 12
a wonderful husband dad grandad, 12
a wonderful wife and mum, 12
a wonderful wife mum, 12
a wonderful wife mother &, 12
a wonderful mum and grandma, 12
a wonderful son brother &, 12
a wonderful son brother and, 12
a wonderful father and grandfather, 12
a wonderful dad, 12
a wonderful dad grandad, 12
a wonderful dad and grandad, 12
a wonderful daughter wife mother, 12
a seat with a view, 12
a seat rest a, 12
a seat rest a while, 12
a seat & enjoy the, 12
a loving father and, 12
a loving father grandfather &, 12
a loving wife mother grandma, 12
a loving wife & mother, 12
a loving wife a, 12
a loving husband &, 12
a loving husband & father, 12
a loving mother and, 12
a loving mum and, 12
a loving mum and a, 12
a loving mum & dad, 12
a loving son brother husband, 12
a loving dad and, 12
a loving dad and grandad, 12
a loving and devoted husband, 12
a loving and caring husband, 12
a loving and much loved, 12
a loving thought a silent, 12
a man of integrity and, 12
a man of great, 12
a man who cared, 12
a man who loved and, 12
a gentle man and, 12
a gentle man and a, 12
a family man known for, 12
a dear wife mum and, 12
a dear friend and a, 12
a dear friend who loved, 12
a dear husband father &, 12
a dear husband and dad, 12
a dear husband &, 12
a dear husband & father, 12
a dear mum and nan, 12
a dear dad and, 12
a dear mam and dad, 12
a dear aunt and uncle, 12
a beloved son grandson brother, 12
a beloved son brother uncle, 12
a beloved husband and father, 12
a beloved husband dad and, 12
a friend to everyone, 12
a friend to all who, 12
a friend of the, 12
a friend you can visit, 12
a good friend to all, 12
a good friend of the, 12
a good time not a, 12
a good man and, 12
a beautiful soul has been, 12
a beautiful daughter, 12
a beautiful daughter sister, 12
a beautiful daughter sister &, 12
a beautiful daughter and sister, 12
a beautiful spirit who left, 12
a lane we'd walk, 12
a lane we would, 12
a lane we would walk, 12
a place for you to, 12
a place for us to, 12
a place for reflection and, 12
a place to rest in, 12
a place to reflect, 12
a place to reflect on, 12
a place she loved dearly, 12
a place that made him, 12
a place he, 12
a place he loved to, 12
a true friend and loyal, 12
a true gentleman who loved, 12
a true gentleman and, 12
a true gentleman and friend, 12
a long time, 12
a long time resident of, 12
a long day without you, 12
a scholar and a gentleman, 12
a scholar who never tired, 12
a much loved mother nan, 12
a much loved mother and, 12
a much loved daughter and, 12
a much loved mum &, 12
a much loved son brother, 12
a much loved son and, 12
a much loved and very, 12
a much loved wife and, 12
a much loved member of, 12
a smile we miss you, 12
a smile not a tear, 12
a smile on your face, 12
a dearly loved brother, 12
a dearly loved wife, 12
a dearly loved wife and, 12
a dearly loved and, 12
a dearly loved son, 12
a steam enthusiast who spent, 12
a little while a child, 12
a little tribute small and, 12
a garden he enjoyed a, 12
a garden is a friend, 12
a garden of beautiful memories, 12
a while" in loving, 12
a star to steer, 12
a big heart, 12
a big man with, 12
a life that touched so, 12
a day goes by that, 12
a day when we can't, 12
a rest in memory, 12
a caring wife will never, 12
a member of the, 12
a member of this club, 12
a commander in the us, 12
a gift from the class, 12
a gift to treasure ours, 12
a gift she was nancy, 12
a gift in memory, 12
a mayfair resident for many, 12
a part of us, 12
a kind and caring, 12
a truly wonderful wife, 12
a truly wonderful wife mum, 12
a favourite place to rest, 12
a loved one becomes, 12
a loved one lives forever, 12
a valued friend, 12
a valued friend and, 12
a valued colleague and good, 12
a valued employee but most, 12
a golden heart stopped, 12
a silent tear, 12
a thought away loved &, 12
a dedicated supporter of the, 12
a trail of beautiful memories, 12
a nationwide vote in, 12
a fine day and, 12
a volunteer at the, 12
a heart that's ever free", 12
a well loved husband dad, 12
a moment to enjoy, 12
a moment to enjoy the, 12
a moment to sit and, 12
a unique spirit loved so, 12
a joy and our paths, 12
a passion for life, 12
a son a brother, 12
a son a brother and, 12
a thinker a gentle man, 12
a lad from meadow road, 12
a lad and a lass, 12
a heartache no, 12
a memory no, 12
a memory that memory, 12
a lifetime of love and, 12
a cup of, 12
a cup of tea and, 12
a token of respect by, 12
a bless ing_ ev-ery inch, 12
a native of abingdon, 12
a henry gm died 8th, 12
a breath of fresh, 12
a stalwart of, 12
a stalwart of this, 12
a collection of memories the, 12
a hinton lover of nature, 12
a resident of, 12
a world in a grain, 12
a thousand winds that, 12
a thousand winds that blow, 12
a mie 4 may 1932, 12
a role model to his, 12
a grain of sand and, 12
a limb has fallen from, 12
a crawford and marjorie m, 12
a life' memorial forest donated, 12
a tingler 1928 - 2004, 12
a frequent visitor to, 12
a wild call and a, 12
a windy day with the, 12
a sacked and victimised miner, 12
a merry yarn from, 12
a laughing fellow-rover and, 12
a while' happy memories of, 12
a bite in memory of, 12
a coin in our wishing, 12
a tall ship and, 12
a chwaer annwyl loving wife, 12
a clark and daughter of, 12
devoted husband dad & grandpa, 12
devoted husband dad & grandad, 12
devoted father and loving sister, 12
devoted mother and grandmother, 12
devoted wife mother grandmother, 12
devoted wife mother grandmother and, 12
devoted wife mother & grandmother, 12
devoted to his family, 12
devoted to his family and, 12
devoted to each other, 12
devoted his life, 12
devoted his life to the, 12
devoted family man, 12
devoted parents grandparents & great, 12
lovingly remembered by julian audrey, 12
lovingly remembered by all their, 12
lovingly remembered by her family, 12
lovingly remembered by the family, 12
lovingly remembered by their family, 12
lovingly remembered and forever in, 12
remembered always by his wife, 12
remembered always by his family, 12
remembered always by family and, 12
remembered by your, 12
remembered by your family, 12
remembered by your family and, 12
remembered by his friends and, 12
remembered by his wife and, 12
remembered by all in loving, 12
remembered by all his family, 12
remembered by all his colleagues, 12
remembered by all their family, 12
remembered by family &, 12
remembered by the, 12
remembered by the family, 12
remembered by julian audrey mark, 12
remembered with love and pride, 12
remembered with love and a, 12
remembered with love by friends, 12
remembered with love peter, 12
remembered with affection by her, 12
remembered with much love by, 12
remembered with great, 12
remembered with great love, 12
remembered with great love and, 12
remembered and missed, 12
remembered and forever in the, 12
remembered and sorely missed, 12
remembered and sorely missed by, 12
remembered every day by, 12
remembered for his love of, 12
remembered & missed by his, 12
remembered tom milcoy a city, 12
remembered at a place, 12
remembered at a place they, 12
remembered sylvia kirk dec 1922, 12
remembered today and every day, 12
george and mary pringle who, 12
george rhind jp representative of, 12
george patey-round 1st june 1951-12th, 12
george watt ("g") 141098 -, 12
friends in the royal british, 12
friends in memory of walt, 12
friends in fond memory of, 12
friends of st, 12
friends of st thomas hospital, 12
friends of the other place, 12
friends of the elderly, 12
friends of the elderly september, 12
friends of the princess royal, 12
friends of bill brown 1924, 12
friends of reculver country park, 12
friends of radcliffe 1973, 12
friends of rosliston wood, 12
friends of worcester royal infirmary, 12
friends of croham hurst woods, 12
friends of holland park, 12
friends of evesham parish, 12
friends of glasgow botanic, 12
friends & colleagues of, 12
friends and family in memory, 12
friends and family the pure, 12
friends and colleagues in appreciation, 12
friends and colleagues of the, 12
friends always in our hearts, 12
friends always in our thoughts, 12
friends always loved and never, 12
friends forever in our hearts, 12
friends to celebrate 30, 12
friends for over 50 years, 12
friends are hard to find, 12
friends x x x x, 12
friends loved visiting dawlish for, 12
friends rest in peace, 12
friends bench april 2004 donated, 12
recognition of his love of, 12
recognition of his service to, 12
recognition of his services, 12
love of nature and, 12
love of nature and big, 12
love of the park, 12
love by his wife, 12
love by his wife and, 12
love by her family and, 12
love by friends and family, 12
love and laughter with family, 12
love and miss you mum, 12
love and miss you forever, 12
love and miss you your, 12
love and happiness, 12
love and kindness, 12
love and affection by all, 12
love and pride, 12
love and pride 2nd engineering, 12
love and remember you, 12
love and be loved in, 12
love you as long as, 12
love you gave, 12
love you gave and the, 12
love you always -, 12
love you forever miss you, 12
love you forever from your, 12
love you more, 12
love you more than, 12
love you because you are, 12
love you so much and, 12
love you still, 12
love you still always, 12
love you & miss you, 12
love mum dad, 12
love mum & dad, 12
love in our family flows, 12
love from all your colleagues, 12
love from all your girls, 12
love from all her, 12
love from all her friends, 12
love from all of, 12
love from his wife, 12
love from us all, 12
love from her family, 12
love from the, 12
love from the best fellows, 12
love from dianne kelly &, 12
love will light our, 12
love for each other, 12
love always mum & dad, 12
love always your, 12
love all the family, 12
love your family &, 12
love your children and grandchildren, 12
love forever in our, 12
love forever in our hearts, 12
love london as we do, 12
love london 31st january 2004, 12
love this place, 12
love the life you live, 12
love family and friends, 12
love marilyn pat & david, 12
was donated by the family, 12
was donated by the members, 12
was donated by the friends, 12
was donated by catherine kennington, 12
was donated by bardon aggregates, 12
was donated in september, 12
was donated in september 2004, 12
was donated in loving, 12
was donated to the, 12
was presented to the town, 12
was presented to her majesty, 12
was presented by the cobtree, 12
was born in, 12
was placed here by his, 12
was placed here by order, 12
was a special place for, 12
was a gift to all, 12
was given by the, 12
was given in memory of, 12
was given in loving memory, 12
was their special, 12
was not measured by the, 12
was erected in memory of, 12
was one of her favourite, 12
was to tend the flower, 12
was his heaven on earth, 12
was loved by all who, 12
was provided by the ravensbourne, 12
was provided by matlock bath, 12
was an inspiration to, 12
was an inspiration to all, 12
was nancy diane keen feb, 12
was tragically taken from us, 12
was blinded in her right, 12
was special to all those, 12
was magic! good night god, 12
was awarded the victoria cross, 12
bill and mary maddocks founders, 12
bill brown 1924 - 1992, 12
ken and milly bacon for, 12
ken woltorton founder bill and, 12
is placed here in loving, 12
is placed here as a, 12
is placed in memory, 12
is dedicated to one of, 12
is dedicated to bill, 12
is dedicated to herbert a, 12
is dedicated to matty a, 12
is dedicated to our, 12
is dedicated to celebrate the, 12
is dedicated to phillip marshall, 12
is dedicated in memory, 12
is dedicated with love, 12
is a trail of beautiful, 12
is a collection of memories, 12
is a friend you can, 12
is a light, 12
is a wild call and, 12
is a windy day with, 12
is a merry yarn, 12
is a tall ship, 12
is a gift in, 12
is donated for, 12
is donated to st margaret's, 12
is the garden you always, 12
is the most perfect, 12
is the most perfect refreshment, 12
is given in memory, 12
is given by his, 12
is given by his family, 12
is now reunited with her, 12
is not to die" in, 12
is not the end but, 12
is not the end it, 12
is not forever love is, 12
is erected to the memory, 12
is nearer god’s heart in, 12
is in the, 12
is to have as many, 12
is always in our, 12
is remembered with much love, 12
is forever in our hearts, 12
is just to love and, 12
is an inspiration to, 12
is an inspiration to us, 12
is rounded with a sleep", 12
is rounded with a sleep, 12
is easy we do, 12
is something you must always, 12
is made entirely from, 12
is life if full, 12
is this life, 12
is somewhere over the rainbow, 12
is supported by transport for, 12
is kept to love and, 12
placed here by his loving, 12
placed here by the royal, 12
placed here by order of, 12
placed here in the centenary, 12
placed here with love, 12
placed here with love by, 12
here we will always remember, 12
here with you, 12
here with his family and, 12
here with our, 12
here with the spirit of, 12
here with love by her, 12
here by his, 12
here by his loving, 12
here by his loving family, 12
here by order of the, 12
here for a good, 12
here for a good time, 12
here for a while and, 12
here for many, 12
here still loved and missed, 12
here in the centenary year, 12
here in this special place, 12
here in this park with, 12
here and think of you, 12
here but i promise it, 12
here will we sit and, 12
here you will live on, 12
here is where you, 12
here forever in our hearts, 12
here a while and think, 12
here a while as, 12
here as a child and, 12
here awhile and, 12
here awhile and remember, 12
here awhile and remember with, 12
here knowing you are never, 12
here leave with a smile, 12
here everyday to know, 12
mark the 25th anniversary of, 12
mark the golden jubilee of, 12
mark the 50th anniversary, 12
mark the silver jubilee of, 12
mark williams much loved and, 12
mark his term in office, 12
mark many years of beneficial, 12
long time residents, 12
long time residents of tamworth, 12
long serving member of, 12
long as men can, 12
long as there are stars, 12
long lives this and, 12
between the company and the, 12
between me and thee while, 12
gina collia-suzuki in loving memory, 12
lane we'd walk right, 12
lane i'd walk right up, 12
both loved this park, 12
both spent many happy hours, 12
both no one will ever, 12
life in loving memory of, 12
life in your years", 12
life and london from, 12
life and london from all, 12
life and this fabulous view, 12
life and work of, 12
life and lived it, 12
life and lived it to, 12
life and other recycled plastic, 12
life to the full a, 12
life to share but in, 12
life was a gift to, 12
life i love you more, 12
life lived to the, 12
life is not forever love, 12
life that touched so many, 12
life that count it's, 12
life you live live the, 12
life long resident of holborn, 12
life we loved you dearly, 12
life full of love and, 12
life through we will always, 12
life our inspirations and now, 12
life april 26th 1967 her, 12
life by friends not years, 12
alan and ella may 1921, 12
alan m davies 1952 -, 12
alan g weeks 1933 ~, 12
alan bristow a local conservationist, 12
we will always remember the, 12
we will always remember your, 12
we will always miss you, 12
we will never forget your, 12
we will never forget him, 12
we will miss you until, 12
we will hold you, 12
we will live our lives, 12
we loved you dearly in, 12
we loved you so, 12
we loved you so we, 12
we loved them with the, 12
we loved don't go away, 12
we are all together, 12
we are absent one from, 12
we are such stuff as, 12
we are and our lives, 12
we love you always and, 12
we love and miss you!, 12
we love & miss, 12
we love is not, 12
we shared so many happy, 12
we shared are treasured souvenirs, 12
we meet again in, 12
we meet again xxx, 12
we meet again love always, 12
we meet again", 12
we meet again" 9/4/76 –, 12
we were to each, 12
we were meant to be, 12
we shall remember, 12
we shall remember you for, 12
we sit and let, 12
we sit a while and, 12
we sit here knowing you, 12
we sit here with, 12
we sit by here everyday, 12
we keep in memory is, 12
we have shared in parks, 12
we have so many, 12
we have you in, 12
we miss you to our, 12
we miss you -, 12
we miss you now and, 12
we miss the most are, 12
we find you we love, 12
we do it every, 12
we gather and treasure them, 12
we hope that you, 12
we hope that you enjoy, 12
we enjoyed family holidays here, 12
we spent many happy hours, 12
we spent so many happy, 12
we spent here loving husband, 12
we treasure you are loved, 12
we cannot see you you, 12
we think of you in, 12
we always laughed at the, 12
we wrote your name, 12
we left them where, 12
we can't be together keep, 12
we cry to thee for, 12
we celebrate the birth of, 12
quiet room i'm in the, 12
quiet hours in these, 12
quiet hours in these gardens, 12
place to sit and enjoy, 12
place to sit in loving, 12
place to rest in, 12
place to rest in peace, 12
place to rest and remember, 12
place to rest a while, 12
place you loved so, 12
place for a, 12
place for a special person, 12
place in our hearts, 12
place in the world, 12
place in memory of, 12
place she called home 11-7-1953-16-4-2013, 12
place of peace and, 12
place of peace and tranquility, 12
place remembered for his love, 12
place that made him happy, 12
place missed by all, 12
place forever in our, 12
place he loved to be, 12
place this bench is, 12
let me do it now, 12
remember the good, 12
remember all the happy, 12
remember all the happy times, 12
remember you are braver than, 12
remember you for as long, 12
remember him here with love, 12
remember me with a, 12
remember me with a smile, 12
remember me when i, 12
beauty of this garden we, 12
beauty of this view and, 12
beauty and serenity of this, 12
beauty where you often came, 12
peace this is the garden, 12
peace in this garden, 12
peace in this beautiful place, 12
peace in loving memory of, 12
peace my joy my love, 12
peace at last, 12
peace from all your, 12
presented to the residents of, 12
presented to the town by, 12
presented to the corporation of, 12
presented to the ullapool museum, 12
presented to the jed-forest instrumental, 12
presented to southborough cricket club, 12
presented to this garden in, 12
presented to her majesty by, 12
presented to st john's church, 12
presented by her daughter meg, 12
presented by his family and, 12
presented by his wife and, 12
presented by his widow, 12
presented by his children and, 12
presented by his friends in, 12
presented by edinburgh, 12
presented by edinburgh beatles appreciation, 12
presented by the edinburgh, 12
presented by the heart of, 12
presented by the city, 12
presented by the monro family, 12
presented by the hms phoebe, 12
presented by the ladies, 12
presented by the staff, 12
presented by the league, 12
presented by the sevenoaks chronicle, 12
presented by the mayor of, 12
presented by the residents of, 12
presented by the cobtree charity, 12
presented by the cambridge, 12
presented by the cambridge university, 12
presented by mr and, 12
presented by mr keith walker, 12
presented by mr ted baker, 12
presented by friends, 12
presented by councillor geo m, 12
presented by members of lichfield, 12
presented by rotary club of, 12
presented by alcester - moorfields, 12
presented by marie schleichert, 12
presented by marie schleichert u, 12
presented by soroptimist international of, 12
presented by bexhill friends, 12
presented by bedworth market, 12
presented by toc h, 12
presented by aldridge local history, 12
presented in memory of bill, 12
presented in memory of past, 12
presented in ever loving memory, 12
presented in loving memory by, 12
presented on behalf of, 12
city of dundee for over, 12
city of edinburgh by, 12
city of southampton by his, 12
city of wakefield mdc in, 12
city presented by his wife, 12
city gifted by her, 12
city gifted by her friend, 12
city by the wanderers club, 12
city green and worked tirelessly, 12
district branch donated by friends, 12
district council to commemorate the, 12
district lions club, 12
district lions club from carnival, 12
district community association presented in, 12
star association oct 19th 1972, 12
star to steer her, 12
star to steer her by, 12
star how i wonder what, 12
star in the sky love, 12
star and one clear call, 12
association of the, 12
association of the national, 12
association in memory of robert, 12
association denison house 296 vauxhall, 12
association edinburgh to commemorate their, 12
association to commemorate the adoption, 12
association with tonbridge, 12
association founded 1970 in rememberance, 12
association marianna clark the residents, 12
association between the company and, 12
association hertfordshire branch presented this, 12
association presented in memory of, 12
may 1943 -, 12
may your spirit soar with, 12
may the road rise up, 12
may the sun, 12
may the sun shine, 12
may the sun shine warm, 12
may the sun always, 12
may the sun always shine, 12
may the wind be always, 12
may 1937 presented by mr, 12
may all share with monique, 12
may all who sit, 12
may all who rest here, 12
may he rest, 12
may one day come to, 12
may flights of angels, 12
may 2012 a wonderful dad, 12
may his soul rest in, 12
may 1932 - 23 july, 12
may meadowcroft of hillfield farm, 12
may there be no moaning, 12
may 2021 at the opening, 12
1987 in loving memory, 12
1987 in loving memory of, 12
1987 born 15 may 1924, 12
commemorate the 90th birthday, 12
commemorate the adoption of hms, 12
commemorate the royal wedding, 12
commemorate the royal wedding of, 12
commemorate the queens golden jubilee, 12
commemorate the 100th anniversary of, 12
commemorate ve day 8th, 12
north east somerset council, 12
north cotswold association of, 12
north york moors national park, 12
1943 - 2016 forever in, 12
1943 - 2013, 12
best friend always loved, 12
best is yet to, 12
best dad in the, 12
best kept village competition, 12
best husband dad & grandad, 12
that he loved so much, 12
that you enjoy it too, 12
that burns twice as bright, 12
that i am god" psalm, 12
that i love you, 12
that have fallen in, 12
that she is gone or, 12
that others may, 12
that others may enjoy this, 12
that made him happy and, 12
that makes saying goodbye, 12
that touched so many will, 12
that never goes away, 12
that never goes out, 12
that those we miss the, 12
that count it's the, 12
that then i scorn to, 12
that touch our lives stay, 12
that memory becomes a, 12
that memory becomes a treasure, 12
that sing in spring i'm, 12
will always be remembered and, 12
will always be remembered for, 12
will always be remembered with, 12
will always be sadly missed, 12
will always be our sunshine, 12
will always be here, 12
will always have a, 12
will always have a special, 12
will always love you and, 12
will always love and miss, 12
will lift up mine eyes, 12
will never forget what we, 12
will never be forgotten and, 12
will never be forgotten by, 12
will never be forgotten xx, 12
will never be forgotten january, 12
will never be forgotten forever, 12
will never fade gerard wee, 12
will never stop loving you, 12
will live on forever in, 12
will live forever in, 12
will live forever in our, 12
will be remembered always by, 12
will be deeply missed, 12
will be lovingly remembered and, 12
will be dearly missed, 12
will be greatly missed by, 12
will be right here, 12
will forever live in, 12
will miss you until we, 12
will stay in, 12
will stay loved and remembered, 12
will love you always and, 12
will meet again, 12
will we sit and, 12
will hold you in, 12
will light our way, 12
will light our way your, 12
will come to pass loved, 12
will give you rest, 12
will for evermore love all, 12
will know something of her, 12
us in our hearts, 12
us in memory and will, 12
us too soon, 12
us everyday in loving memory, 12
us everyday unseen unheard, 12
us far too soon your, 12
us far too soon but, 12
us all too soon, 12
us all our love, 12
us all our love forever, 12
us all rest in peace, 12
us navy during the normandy, 12
us so much to remember, 12
us he only takes the, 12
us memories to treasure and, 12
us when we cry to, 12
bench is dedicated to matty, 12
bench is dedicated to bexley, 12
bench is donated by, 12
bench is donated to st, 12
bench is placed in memory, 12
bench is placed here in, 12
bench is placed here as, 12
bench is given by his, 12
bench is in loving memory, 12
bench is to, 12
bench is to commemorate the, 12
bench was donated by catherine, 12
bench was donated by bardon, 12
bench was presented by, 12
bench was presented by the, 12
bench was placed here, 12
bench was provided by, 12
bench and weep i'm all, 12
bench kindly donated by, 12
bench by the road, 12
bench by constance de jong, 12
bench has been funded by, 12
bench has been donated by, 12
bench has been provided by, 12
bench has been restored in, 12
bench donated by family and, 12
bench to the memory of, 12
bench sponsored by unison, 12
bench chosen by your community, 12
bench our dad loved magic, 12
bench april 2004 donated by, 12
mary smith of streatham 15322, 12
mary lou lancaster of falmouth, 12
mary stephen ma graduates of, 12
mary pringle who loved walking, 12
given in memory of captain, 12
given to the people of, 12
given by the village of, 12
given by the committee on, 12
given by his wife, 12
given by his family to, 12
given by his many friends, 12
given by her family, 12
given by league of friends, 12
april 2004 donated by misawa, 12
april 26th 1967 her great, 12
april 1996 - 22nd, 12
september 2004 in memory of, 12
september 2008 wish you were, 12
september 2017 have some memories, 12
1996 who spent many happy, 12
1996 in memory of, 12
1996 they spent many happy, 12
resident of the city of, 12
over 40 years of, 12
over 60 years, 12
over smile because, 12
years of happy, 12
years of support to, 12
years of marriage all my, 12
years of the, 12
years of beneficial association between, 12
years of crieff in, 12
years you lived but by, 12
years in your, 12
years miss you so much, 12
years always in our, 12
years always in our thoughts, 12
years old "forever in our, 12
years donated by his family, 12
years sadly missed by family, 12
years sadly missed by his, 12
years forever in our hearts, 12
years presented by her family, 12
went with you the, 12
st ives a special place, 12
st mary's college society in, 12
st chad for the, 12
st margaret's parish church from, 12
st margaret's church halstead in, 12
st martins property corporation ltd, 12
often walked this way, 12
often speak your name, 12
laughter to so many, 12
brought fun and laughter to, 12
lives of all who, 12
lives of all who knew, 12
lives in defence of their, 12
lives on in our memories, 12
lives on in this beautiful, 12
lives forever in our, 12
lives this and this, 12
lives with love and, 12
lives with us in memory, 12
lives are richer for it, 12
lives stay in our hearts, 12
lives to share but in, 12
lives who never leave us, 12
spending time in this, 12
spending time in this park, 12
time in loving memory of, 12
time to sit and stare", 12
time to rest before the, 12
time to celebrate life and, 12
time to stop and stare, 12
time here with his, 12
time you think of me, 12
time residents of, 12
time residents of tamworth road, 12
lovely mum mrs betty buntine, 12
thank you for everything, 12
thank you for the happy, 12
thank you for the love, 12
thank you for being you, 12
you to our beloved niece, 12
you to rest awhile, 12
you are always with us, 12
you are always in my, 12
you are always there, 12
you are the, 12
you are sadly missed, 12
you are sadly missed 1953, 12
you are deeply missed but, 12
you are braver than you, 12
you are missed, 12
you are missed beyond words, 12
you are ever near still, 12
you are pain free now, 12
you will live on, 12
you will live forever, 12
you will always be remembered, 12
you will always be there, 12
you will always be missed, 12
you will always be loved, 12
you will always have a, 12
you will forever live in, 12
you will stay in, 12
you will stay loved and, 12
you will be forever, 12
you will remain in, 12
you will know something of, 12
you always enjoyed from the, 12
you always your loving family, 12
you always rest in peace, 12
you home again, 12
you lived but by the, 12
you gave and the things, 12
you in this place you, 12
you in our hearts forever, 12
you in our hearts always, 12
you in memory of, 12
you - fi sunny days, 12
you were the world, 12
you so much you, 12
you so much you will, 12
